Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary,Sentiment_Score
Willy's Wonderland,5.5,88,2021,comedy,Kevin Lewis,41000,44,"A quiet drifter is tricked into a janitorial job at the now condemned Willy's Wonderland. The mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. Fists fly, kicks land, titans clash -- and only one side will make it out alive.",0.12222222222222223
Jojo Rabbit,7.9,108,2019,comedy,Taika Waititi,462000,58,"A young German boy in the Hitler Youth, whose hero and imaginary friend is the country's dictator, is shocked to discover that his mother is hiding a Jewish girl in their home.",-0.15
Cruella,7.3,134,2021,comedy,Craig Gillespie,278000,59,"During the 1970s London punk rock revolution, young grifter Estella transforms herself into the raucous, revenge-bent Cruella de Vil.",-0.09999999999999999
The Suicide Squad,7.2,132,2021,comedy,James Gunn,429000,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",-0.1
Red Notice,6.3,118,2021,comedy,Rawson Marshall Thurber,335000,37,An Interpol agent successfully tracks down the world's most wanted art thief with help from a rival thief. But nothing is as it seems as a series of double-crosses ensues.,0.36481481481481487
Don't Look Up,7.2,138,2021,comedy,Adam McKay,633000,49,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,-0.06666666666666667
Ghostbusters: Afterlife,7.0,124,2021,comedy,Jason Reitman,232000,45,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",-0.1244047619047619
What We Do in the Shadows,7.6,86,2014,comedy,Jemaine Clement,207000,76,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",0.016666666666666677
Chemistry of Kariyappa,6.9,128,2019,comedy,Kumar,329,64,"A 32-year old man's father helps him out with his ""Smart Life Equations"".",0.15714285714285714
The Lost City,6.1,112,2022,comedy,Aaron Nee,169000,60,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,0.0
The Unbearable Weight of Massive Talent,7.0,107,2022,comedy,Tom Gormican,167000,68,Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.,0.5
777 Charlie,8.7,164,2022,comedy,Kiranraj K,43000,64,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,-0.08787878787878788
Battle Royale,7.5,114,2000,adventure,Kinji Fukasaku,200000,81,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill one another under the revolutionary ""Battle Royale"" act.",0.0
"Crouching Tiger, Hidden Dragon",7.9,120,2000,adventure,Ang Lee,287000,94,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,0.025
Gladiator,8.5,155,2000,adventure,Ridley Scott,1700000,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,-0.04999999999999999
X-Men,7.3,104,2000,adventure,Bryan Singer,669000,64,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",0.0
A.I. Artificial Intelligence,7.2,146,2001,adventure,Steven Spielberg,330000,65,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",0.2
Harry Potter and the Sorcerer's Stone,7.7,152,2001,adventure,Chris Columbus,896000,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",-0.5
"Monsters, Inc.",8.1,92,2001,adventure,Pete Docter,1000000,79,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",0.0
Lara Croft: Tomb Raider,5.8,100,2001,adventure,Simon West,224000,33,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,-0.05000000000000002
Shrek,7.9,90,2001,adventure,Andrew Adamson,765000,84,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",-0.15625
The Lord of the Rings: The Fellowship of the Ring,8.9,178,2001,adventure,Peter Jackson,2100000,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,-0.016666666666666673
Harry Potter and the Chamber of Secrets,7.4,161,2002,adventure,Chris Columbus,723000,63,"Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of courage.",0.5
Ice Age,7.5,81,2002,adventure,Chris Wedge,539000,61,"Manny the mammoth, Sid the loquacious sloth, and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father, across a world on the brink of an ice age.",0.16666666666666666
Spider-Man,7.4,121,2002,adventure,Sam Raimi,914000,73,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",-0.5
The Lord of the Rings: The Two Towers,8.8,179,2002,adventure,Peter Jackson,1900000,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",0.13636363636363635
Cold Mountain,7.2,154,2003,adventure,Anthony Minghella,160000,73,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",-0.19999999999999998
Holes,7.0,117,2003,adventure,Andrew Davis,104000,71,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,-0.4375
Johnny English,6.3,87,2003,adventure,Peter Howitt,179000,51,"After a sudden attack on MI7, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy.",0.05833333333333335
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143,2003,adventure,Gore Verbinski,1300000,63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",0.16666666666666666
The League of Extraordinary Gentlemen,5.8,110,2003,adventure,Stephen Norrington,187000,30,"In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.",0.06666666666666665
Alien vs. Predator,5.7,101,2004,adventure,Paul W.S. Anderson,222000,29,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",0.16875
A Series of Unfortunate Events,6.8,108,2004,adventure,Brad Silberling,226000,62,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",-0.13333333333333333
Harold & Kumar Go to White Castle,7.0,88,2004,adventure,Danny Leiner,210000,64,A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,0.0
Harry Potter and the Prisoner of Azkaban,7.9,142,2004,adventure,Alfonso Cuarón,723000,82,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",-0.16666666666666666
Hellboy,6.9,122,2004,adventure,Guillermo del Toro,360000,72,"A demon raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",0.0
National Treasure,6.9,131,2004,adventure,Jon Turteltaub,365000,40,A historian races to find the legendary Templar Treasure before a team of mercenaries.,1.0
Spider-Man 2,7.5,127,2004,adventure,Sam Raimi,739000,83,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,0.3
The Incredibles,8.0,115,2004,adventure,Brad Bird,846000,90,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",-0.05000000000000001
Troy,7.3,163,2004,adventure,Wolfgang Petersen,589000,56,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces.",0.3
Charlie and the Chocolate Factory,6.7,115,2005,adventure,Tim Burton,547000,72,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",0.395
Harry Potter and the Goblet of Fire,7.7,157,2005,adventure,Mike Newell,711000,81,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",0.55
King Kong,7.2,187,2005,adventure,Peter Jackson,457000,81,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",0.0
Madagascar,6.9,86,2005,adventure,Eric Darnell,454000,57,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",0.04545454545454545
Serenity,7.8,119,2005,adventure,Joss Whedon,310000,74,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,0.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,143,2005,adventure,Andrew Adamson,441000,75,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.",-1.0
The Descent,7.2,99,2005,adventure,Neil Marshall,258000,71,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",-0.1875
The Hitchhiker's Guide to the Galaxy,6.7,109,2005,adventure,Garth Jennings,212000,63,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",-0.20454545454545456
War of the Worlds,6.5,117,2005,adventure,Steven Spielberg,487000,73,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,-0.08333333333333333
Casino Royale,8.0,144,2006,adventure,Martin Campbell,713000,80,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",-0.1375
Mission: Impossible III,6.9,126,2006,adventure,J.J. Abrams,401000,66,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,-0.6
Pirates of the Caribbean: Dead Man's Chest,7.4,151,2006,adventure,Gore Verbinski,791000,53,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",0.2375
The Ant Bully,5.8,88,2006,adventure,John A. Davis,43000,59,"After Lucas Nickle floods an ant colony with his water gun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins.",-0.02430555555555556
The Fall,7.8,117,2006,adventure,Tarsem Singh,122000,64,"In 1920s Los Angeles, a bedridden patient in a hospital captivates a young girl with a fantastic tale of heroes, myths, and villains on a desert island.",0.25
The Girl Who Leapt Through Time,7.7,98,2006,adventure,Mamoru Hosoda,73000,66,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",0.2020833333333333
Beowulf,6.3,115,2007,adventure,Robert Zemeckis,177000,59,"The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.",0.0
Enchanted,7.1,107,2007,adventure,Kevin Lima,223000,75,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",-0.06590909090909092
Harry Potter and the Order of the Phoenix,7.5,138,2007,adventure,David Yates,660000,71,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",-0.30000000000000004
Into the Wild,8.1,148,2007,adventure,Sean Penn,675000,73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",0.21212121212121213
Meet the Robinsons,6.8,95,2007,adventure,Stephen J. Anderson,116000,61,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.",0.2111111111111111
Pirates of the Caribbean: At World's End,7.1,169,2007,adventure,Gore Verbinski,714000,50,"Will Turner, Elizabeth Swann, Hector Barbossa, and the crew of the Black Pearl try and rescue Jack from davy jones locker and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman.",-0.16666666666666666
Ratatouille,8.1,111,2007,adventure,Brad Bird,873000,96,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,0.26666666666666666
Stardust,7.6,127,2007,adventure,Matthew Vaughn,291000,66,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",0.44999999999999996
The Bucket List,7.4,97,2007,adventure,Rob Reiner,265000,42,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,-0.5
The Golden Compass,6.1,113,2007,adventure,Chris Weitz,200000,51,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",0.010714285714285707
The Water Horse,6.4,112,2007,adventure,Jay Russell,44000,71,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,-0.04999999999999999
Transformers,7.1,144,2007,adventure,Michael Bay,693000,61,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",-0.10000000000000002
Wrong Turn 2: Dead End,5.5,93,2007,adventure,Joe Lynch,48000,64,A group of reality show contestants find themselves fighting for their survival against a family of hideously deformed inbred cannibals who plan to ruthlessly butcher them all.,-1.0
24: Redemption,7.4,84,2008,adventure,Jon Cassar,29000,64,"Jack Bauer confronts African general/aspiring dictator Benjamin Juma, whose forces have been ordered to capture the children Bauer oversees for malicious military training.",-0.05
City of Ember,6.4,90,2008,adventure,Gil Kenan,71000,58,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker.",0.42500000000000004
CJ7,6.4,88,2008,adventure,Stephen Chow,18000,46,A poor Chinese laborer learns important lessons after his son gets a strange new toy.,0.01727272727272727
Harold & Kumar Escape from Guantanamo Bay,6.5,114,2008,adventure,Jon Hurwitz,144000,57,"After being mistaken for terrorists and thrown into Guantánamo Bay, stoners Harold and Kumar escape and return to the U.S., where they proceed to flee across the country with federal agents in hot pursuit.",0.25
Hellboy II: The Golden Army,7.0,120,2008,adventure,Guillermo del Toro,292000,78,A prince of the mythical world starts a rebellion against humanity in order to rule the Earth. Hellboy and his team must fight to stop him from locating the all-powerful Golden Army.,0.3
Horton Hears a Who!,6.8,86,2008,adventure,Jimmy Hayward,154000,71,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,0.0
Indiana Jones and the Kingdom of the Crystal Skull,6.2,122,2008,adventure,Steven Spielberg,501000,65,"Set in 1957, it pits Indiana Jones against Soviet KGB agents led by Irina Spalko searching for a telepathic crystal skull located in Peru.",0.0
Iron Man,7.9,126,2008,adventure,Jon Favreau,1200000,79,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",-0.15625
Kung Fu Panda,7.6,92,2008,adventure,Mark Osborne,545000,74,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",0.15
Quantum of Solace,6.5,106,2008,adventure,Marc Forster,481000,58,James Bond tries to stop an organisation from eliminating a country's most valuable resource.,0.2
The Chronicles of Narnia: Prince Caspian,6.5,150,2008,adventure,Andrew Adamson,231000,62,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",-1.0
The Incredible Hulk,6.6,112,2008,adventure,Louis Leterrier,539000,61,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",-0.3
The Ruins,5.9,90,2008,adventure,Carter Smith,87000,44,"A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins.",-0.27499999999999997
WALL·E,8.4,98,2008,adventure,Andrew Stanton,1200000,95,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",0.35
9,7.0,79,2009,adventure,Shane Acker,152000,60,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,0.0
Avatar,7.9,162,2009,adventure,James Cameron,1400000,83,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,0.1875
Harry Potter and the Half-Blood Prince,7.6,153,2009,adventure,David Yates,622000,78,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",0.059999999999999984
Inglourious Basterds,8.4,153,2009,adventure,Quentin Tarantino,1700000,69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",0.0
Sherlock Holmes,7.6,128,2009,adventure,Guy Ritchie,687000,57,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,0.0
Star Trek,7.9,127,2009,adventure,J.J. Abrams,628000,82,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,-0.08838383838383838
The Secret of Kells,7.5,75,2009,adventure,Tomm Moore,39000,81,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",-0.125
Up,8.3,96,2009,adventure,Pete Docter,1200000,88,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",0.1
Alice in Wonderland,6.4,108,2010,adventure,Tim Burton,452000,53,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",0.2375
Despicable Me,7.6,95,2010,adventure,Pierre Coffin,605000,72,"Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father.",-0.12187500000000001
Frozen,6.2,93,2010,adventure,Adam Green,84000,43,"Three skiers stranded on a chairlift are forced to make life-or-death choices, which prove more perilous than staying put and freezing to death.",0.09999999999999998
Harry Potter and the Deathly Hallows: Part 1,7.7,146,2010,adventure,David Yates,625000,65,"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.",-0.2233333333333333
How to Train Your Dragon,8.1,98,2010,adventure,Dean DeBlois,834000,75,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",-0.08
Inception,8.8,148,2010,adventure,Christopher Nolan,2700000,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",-0.3333333333333333
Legend of the Guardians: The Owls of Ga'Hoole,6.9,97,2010,adventure,Zack Snyder,89000,53,The young owl Soren is kidnapped by the evil owls of St. Aegolious who want to turn him into a soldier. He escapes with some of his friends and warns the mythical guardians about the evil plan.,-0.6333333333333333
Prince of Persia: The Sands of Time,6.5,116,2010,adventure,Mike Newell,310000,50,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,0.18928571428571428
Tangled,7.7,100,2010,adventure,Nathan Greno,515000,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",0.17
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,113,2010,adventure,Michael Apted,171000,53,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",0.0
"Tomorrow, When the War Began",6.1,104,2010,adventure,Stuart Beattie,32000,54,"When their country is invaded and their families are taken, eight unlikely teenagers band together to fight.",-0.5
Toy Story 3,8.3,103,2010,adventure,Lee Unkrich,924000,92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",0.020238095238095232
Captain America: The First Avenger,6.9,124,2011,adventure,Joe Johnston,925000,66,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",-0.1277777777777778
Hanna,6.7,111,2011,adventure,Joe Wright,210000,65,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",0.0
Hugo,7.5,126,2011,adventure,Martin Scorsese,342000,83,"In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",-0.3
Harry Potter and the Deathly Hallows: Part 2,8.1,130,2011,adventure,David Yates,987000,85,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",-0.10000000000000002
Kung Fu Panda 2,7.3,90,2011,adventure,Jennifer Yuh Nelson,335000,67,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",0.04545454545454545
Rio,6.9,96,2011,adventure,Carlos Saldanha,259000,63,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",0.0
The Adventures of Tintin,7.3,107,2011,adventure,Steven Spielberg,248000,68,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,0.0
The Twilight Saga: Breaking Dawn - Part 1,4.9,117,2011,adventure,Bill Condon,261000,45,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",0.0
Brave,7.1,93,2012,adventure,Mark Andrews,458000,69,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",0.6
John Carter,6.6,132,2012,adventure,Andrew Stanton,292000,51,A war-weary former army captain is inexplicably transported to Mars and reluctantly becomes embroiled in a conflict of epic proportions.,-0.16666666666666666
Life of Pi,7.9,127,2012,adventure,Ang Lee,682000,79,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",0.10000000000000002
On the Road,6.0,124,2012,adventure,Walter Salles,44000,56,"Young writer Sal Paradise has his life shaken by the arrival of free-spirited Dean Moriarty and his girl, Marylou. As they travel across the country, they encounter a mix of people who each impact their journey indelibly.",0.1
Safety Not Guaranteed,6.9,86,2012,adventure,Colin Trevorrow,133000,72,Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.,0.0
Snow White and the Huntsman,6.1,127,2012,adventure,Rupert Sanders,308000,57,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",-0.1875
Skyfall,7.8,143,2012,adventure,Sam Mendes,747000,81,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",-0.12111111111111113
The Hobbit: An Unexpected Journey,7.8,169,2012,adventure,Peter Jackson,898000,58,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.",0.2
Wreck-It Ralph,7.7,101,2012,adventure,Rich Moore,476000,72,Ralph is tired of playing the role of a bad guy and embarks on a journey to become a video game hero. But he accidentally lets loose a deadly enemy that threatens the entire arcade.,-0.29615384615384616
After Earth,4.8,100,2013,adventure,M. Night Shyamalan,213000,33,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",-0.30000000000000004
Frozen,7.4,102,2013,adventure,Chris Buck,683000,75,"Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven in an epic journey to find Anna's sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter.",0.03333333333333334
Iron Man 3,7.1,130,2013,adventure,Shane Black,925000,62,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",-0.2
Justice League: The Flashpoint Paradox,8.1,75,2013,adventure,Jay Oliva,62000,64,The Flash finds himself in a war-torn alternate timeline and teams up with alternate versions of his fellow heroes to return home and restore the timeline.,0.0
Man of Steel,7.1,143,2013,adventure,Zack Snyder,830000,55,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,-0.07954545454545454
Oblivion,7.0,124,2013,adventure,Joseph Kosinski,568000,54,"Jack Harper, a drone repairman stationed on Earth that has been ravaged by war with extraterrestrials, questions his identity after rescuing the woman who keeps appearing in his dreams.",0.0
Star Trek Into Darkness,7.7,132,2013,adventure,J.J. Abrams,503000,72,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",0.6
The Hunger Games: Catching Fire,7.5,146,2013,adventure,Francis Lawrence,742000,76,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,0.0
Thor: The Dark World,6.7,112,2013,adventure,Alan Taylor,746000,54,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",-0.075
Queen,8.1,146,2013,adventure,Vikas Bahl,70000,64,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,0.0
World War Z,7.0,116,2013,adventure,Marc Forster,747000,63,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,-0.1
Captain America: The Winter Soldier,7.7,136,2014,adventure,Anthony Russo,927000,70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",0.05656565656565657
Dawn of the Planet of the Apes,7.6,130,2014,adventure,Matt Reeves,498000,79,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,0.0
Edge of Tomorrow,7.9,113,2014,adventure,Doug Liman,766000,71,A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.,0.0
Godzilla,6.4,123,2014,adventure,Gareth Edwards,452000,62,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",0.0
Guardians of the Galaxy,8.0,121,2014,adventure,James Gunn,1300000,76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,0.0
Interstellar,8.7,169,2014,adventure,Christopher Nolan,2300000,74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",0.06818181818181818
