Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary,Sentiment_Score
Revolver,6.3,111,2005,drama,Guy Ritchie,106000,25,Gambler Jake Green enters into a game with potentially deadly consequences.,-0.26666666666666666
The Devil's Rejects,6.7,107,2005,drama,Rob Zombie,108000,54,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target.",-0.35
The Exorcism of Emily Rose,6.7,119,2005,drama,Scott Derrickson,144000,46,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,0.1
The Jacket,7.1,103,2005,drama,John Maybury,122000,44,"A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them.",-0.3
The Sisterhood of the Traveling Pants,6.5,119,2005,drama,Ken Kwapis,67000,66,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.,0.475
V for Vendetta,8.1,132,2005,drama,James McTeigue,1200000,62,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",0.025
16 Blocks,6.6,102,2006,drama,Richard Donner,136000,63,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece.",-0.25
300,7.6,117,2006,drama,Zack Snyder,886000,52,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army.",0.0
A Millionaire's First Love,7.2,116,2006,drama,Tae-gyun Kim,5500,64,"When a high school diploma from a school in Gangwon Province becomes the key to unlocking his vast inheritance, a spoiled teen Kang Jae Kyung gets an invaluable lesson in life and love in a rural village.",0.11
Babel,7.5,143,2006,drama,Alejandro G. Iñárritu,323000,69,"Tragedy strikes a married couple on vacation in the Moroccan desert, which jump starts an interlocking story involving four different families.",0.125
Bommarillu,8.2,170,2006,drama,Bommarillu Baskar,10000,64,A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,0.30833333333333335
Children of Men,7.9,109,2006,drama,Alfonso Cuarón,544000,84,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",0.16666666666666666
Fanaa,7.1,168,2006,drama,Kunal Kohli,36000,64,A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,0.15892857142857142
Inside Man,7.6,129,2006,drama,Spike Lee,410000,76,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",0.25
Lage Raho Munna Bhai,8.0,144,2006,drama,Rajkumar Hirani,52000,64,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,-0.5
Little Children,7.5,137,2006,drama,Todd Field,119000,75,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts.",0.0
Lucky Number Slevin,7.7,110,2006,drama,Paul McGuigan,331000,53,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",0.16666666666666666
My Autograph,7.9,185,2006,drama,Sudeep,428,64,"The story revolves around Shankar, working in an advertising agency who comes to his village to invite his friends to his marriage. He remembers the good old days and also sees how his friends are faring now. All this is told in flashback.",0.39999999999999997
Pan's Labyrinth,8.2,118,2006,drama,Guillermo del Toro,720000,98,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",-0.4409090909090909
Rang De Basanti,8.1,167,2006,drama,Rakeysh Omprakash Mehra,124000,64,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",-0.0375
Starter for 10,6.7,92,2006,drama,Tom Vaughan,26000,69,"Set in 1985, working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University.",0.25
The Departed,8.5,151,2006,drama,Martin Scorsese,1500000,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,-0.0625
The Fall,7.8,117,2006,drama,Tarsem Singh,122000,64,"In 1920s Los Angeles, a bedridden patient in a hospital captivates a young girl with a fantastic tale of heroes, myths, and villains on a desert island.",0.25
The Girl Who Leapt Through Time,7.7,98,2006,drama,Mamoru Hosoda,73000,66,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",0.2020833333333333
The Host,7.1,120,2006,drama,Bong Joon Ho,137000,85,A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,0.26249999999999996
The Illusionist,7.5,110,2006,drama,Neil Burger,396000,68,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",0.2066666666666667
The Prestige,8.5,130,2006,drama,Christopher Nolan,1500000,66,Rival 19th-century magicians engage in a bitter battle for trade secrets.,-0.1
The Pursuit of Happyness,8.0,117,2006,drama,Gabriele Muccino,586000,64,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,0.1
Vettaiyaadu Vilaiyaadu,7.9,174,2006,drama,Gautham Vasudev Menon,8500,64,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country.",-0.1875
"#73, Shaanthi Nivaasa",7.5,157,2007,drama,G V Arunkumar,249,64,"Raghu, who enters a dysfunctional family with a hidden intention, brings them closer.",-0.16666666666666666
3:10 to Yuma,7.6,122,2007,drama,James Mangold,341000,76,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,-0.1
Awake,6.5,84,2007,drama,Joby Harold,83000,33,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,0.3
An American Crime,7.2,98,2007,drama,Tommy O'Haver,39000,64,"The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.",0.11666666666666665
Bridge to Terabithia,7.2,96,2007,drama,Gabor Csupo,180000,74,"Leslie and Jess create the secret kingdom of Terabithia, a land of monsters, trolls, ogres and giants where they spend their free time ruling as king and queen and fighting evil creatures.",-0.3333333333333333
Chak De! India,8.1,153,2007,drama,Shimit Amin,87000,68,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",0.0
Cheluvina Chittara,6.4,150,2007,drama,S. Narayan,120,64,"A young schoolgirl, Aishwarya, from a rich local don family falls in love and elopes with a small-time mechanic, Maadesha.",0.24375
Dan in Real Life,6.8,98,2007,drama,Peter Hedges,109000,65,A widower finds out the woman he fell in love with is his brother's girlfriend.,0.5
Disturbia,6.8,105,2007,drama,D.J. Caruso,264000,62,"When a teenager is placed under house arrest, he succumbs to despair and starts spying on his neighbors, hoping to spice up his life. This, however, leads him to witness a serial killer on the loose.",-0.06346153846153846
Eastern Promises,7.6,100,2007,drama,David Cronenberg,269000,83,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,-0.4
Fracture,7.2,113,2007,drama,Gregory Hoblit,226000,68,"After shooting his wife, Ted confesses his crime and asks the court to move his case to trial. He represents himself against Willy, a successful lawyer. But there's more to the case than meets the eye.",0.625
Happy Days,7.9,153,2007,drama,Sekhar Kammula,6500,64,A group of eight youngsters from an engineering college form an unbreakable friendship after going through various struggles together.,0.0
I Am Legend,7.2,101,2007,drama,Francis Lawrence,843000,65,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",0.21212121212121213
Into the Wild,8.1,148,2007,drama,Sean Penn,675000,73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",0.21212121212121213
Jab We Met,7.9,138,2007,drama,Imtiaz Ali,61000,64,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,0.3
Juno,7.4,96,2007,drama,Jason Reitman,560000,81,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.",-0.2
Michael Clayton,7.2,119,2007,drama,Tony Gilroy,178000,82,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.",-0.19999999999999998
Mr. Brooks,7.3,120,2007,drama,Bruce A. Evans,160000,45,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,0.0
No Country for Old Men,8.2,122,2007,drama,Ethan Coen,1100000,92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,-0.2
Om Shanti Om,6.8,162,2007,drama,Farah Khan,52000,64,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",0.11111111111111112
P.S. I Love You,7.0,126,2007,drama,Richard LaGravenese,222000,39,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,-0.015909090909090907
Shattered,6.6,95,2007,drama,Mike Barker,34000,64,A perfect family's dynamic is ruined by a kidnapper's brutally efficient plot.,0.041666666666666664
Shooter,7.1,124,2007,drama,Antoine Fuqua,365000,53,"An expert marksman living in exile, is coaxed back into action after learning of a plot to kill the president. Now on the run after being double crossed for the assasination attempt he was trying to prevent, he sets out for the real killer, and the truth.",0.07500000000000001
Sweeney Todd: The Demon Barber of Fleet Street,7.3,116,2007,drama,Tim Burton,396000,83,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",0.25
Like Stars on Earth,8.3,162,2007,drama,Aamir Khan,215000,64,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,-0.04272727272727273
The Bucket List,7.4,97,2007,drama,Rob Reiner,265000,42,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,-0.5
The Cake Eaters,6.3,86,2007,drama,Mary Stuart Masterson,7500,60,Two families are brought together by the return of one family's son -- a reunion that conjures up old ghosts and issues that must be addressed.,0.1
The Lookout,6.9,99,2007,drama,Scott Frank,61000,73,"Chris is a once promising high school athlete whose life is turned upside down following a tragic accident. As he tries to maintain a normal life, he takes a job as a janitor at a bank, where he ultimately finds himself caught up in a planned heist.",-0.06194444444444444
