Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary
133. The Butterfly Effect,7.6,1h 53m,2004,drama,Eric Bress, (537K),30,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
136. The Notebook,7.8,2h 3m,2004,drama,Nick Cassavetes, (649K),53,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.
137. The Passion of the Christ,7.2,2h 7m,2004,drama,Mel Gibson, (257K),47,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
138. The Terminal,7.4,2h 8m,2004,drama,Steven Spielberg, (511K),55,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there."
139. The Village,6.6,1h 48m,2004,drama,M. Night Shyamalan, (287K),44,A series of events tests the beliefs of a small isolated countryside village.
140. Troy,7.3,2h 43m,2004,drama,Wolfgang Petersen, (589K),56,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces."
142. Windstruck,7.1,2h 3m,2004,drama,Jae-young Kwak, (7.9K),N/A,"The heart-warming romance story between Kyungjin and Myungwoo. Even though he has passed away, he will be always with Kyungwoo forever."
143. Anniyan,8.3,3h 1m,2005,drama,S. Shankar, (23K),N/A,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements."
144. Batman Begins,8.2,2h 20m,2005,drama,Christopher Nolan, (1.6M),70,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
146. Chaos,6.4,1h 46m,2005,drama,Tony Giglio, (59K),N/A,"Two cops, a rookie and a grizzled vet, pursue an accomplished bank robber."
149. Corpse Bride,7.4,1h 17m,2005,drama,Tim Burton, (312K),83,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
150. Flightplan,6.3,1h 38m,2005,drama,Robert Schwentke, (175K),53,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane."
151. Gone Baby Gone,7.6,1h 54m,2007,drama,Ben Affleck, (300K),72,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
155. Lord of War,7.6,2h 2m,2005,drama,Andrew Niccol, (347K),62,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
157. Memoirs of a Geisha,7.3,2h 25m,2005,drama,Rob Marshall, (166K),54,"The heartwarming tale of Nitta Sayuri, a young Japanese woman who transcended from her fishing-village roots and became one of Japan's most celebrated geisha."
160. Pride & Prejudice,7.8,2h 9m,2005,drama,Joe Wright, (346K),82,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
162. Revolver,6.3,1h 51m,2005,drama,Guy Ritchie, (106K),25,Gambler Jake Green enters into a game with potentially deadly consequences.
167. The Devil's Rejects,6.7,1h 47m,2005,drama,Rob Zombie, (108K),54,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
168. The Exorcism of Emily Rose,6.7,1h 59m,2005,drama,Scott Derrickson, (144K),46,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.
171. The Jacket,7.1,1h 43m,2005,drama,John Maybury, (122K),44,"A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them."
173. The Sisterhood of the Traveling Pants,6.5,1h 59m,2005,drama,Ken Kwapis, (67K),66,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.
174. V for Vendetta,8.1,2h 12m,2005,drama,James McTeigue, (1.2M),62,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
